"order_id","order_date","total_amount","customer_id","first_name","last_name","email","city","country","payment_id","payment_date","payment_status","payment_method"
1,"2025-01-01","79999.00",1,"Aarav","Sharma","aarav1@gmail.com","Mumbai","India",1,"2025-01-01","Completed","UPI"
2,"2025-01-02","74999.00",2,"Vivaan","Patel","vivaan2@gmail.com","Delhi","India",2,"2025-01-02","Completed","Credit Card"
3,"2025-01-03","64999.00",3,"Aditya","Verma","aditya3@gmail.com","Pune","India",3,"2025-01-03","Pending","Debit Card"
4,"2025-01-04","58999.00",4,"Vihaan","Reddy","vihaan4@gmail.com","Hyderabad","India",4,"2025-01-04","Completed","Net Banking"
5,"2025-01-05","62999.00",5,"Arjun","Singh","arjun5@gmail.com","Bangalore","India",5,"2025-01-05","Failed","UPI"
6,"2025-01-06","71999.00",6,"Sai","Nair","sai6@gmail.com","Chennai","India",6,"2025-01-06","Completed","Cash"
7,"2025-01-07","29999.00",7,"Krishna","Mehta","krishna7@gmail.com","Ahmedabad","India",7,"2025-01-07","Completed","Credit Card"
8,"2025-01-08","9999.00",8,"Ishaan","Gupta","ishaan8@gmail.com","Kolkata","India",8,"2025-01-08","Pending","UPI"
9,"2025-01-09","59999.00",9,"Kabir","Joshi","kabir9@gmail.com","Jaipur","India",9,"2025-01-09","Completed","Debit Card"
10,"2025-01-10","69999.00",10,"Rohan","Kumar","rohan10@gmail.com","Lucknow","India",10,"2025-01-10","Completed","Net Banking"
11,"2025-01-11","54999.00",11,"Aryan","Desai","aryan11@gmail.com","Surat","India",11,"2025-01-11","Completed","UPI"
12,"2025-01-12","52999.00",12,"Rahul","Yadav","rahul12@gmail.com","Nagpur","India",12,"2025-01-12","Completed","Credit Card"
13,"2025-01-13","45999.00",13,"Karan","Mishra","karan13@gmail.com","Indore","India",13,"2025-01-13","Pending","Debit Card"
14,"2025-01-14","49999.00",14,"Nikhil","Bansal","nikhil14@gmail.com","Bhopal","India",14,"2025-01-14","Completed","Net Banking"
15,"2025-01-15","39999.00",15,"Manav","Saxena","manav15@gmail.com","Patna","India",15,"2025-01-15","Failed","UPI"
